SENA (sennae folium) 1kg,CA 011,SENA (sennae folium) 1kg,500.00,CA 011,,1.00
SIPAK (cynosbati fructus) 1kg,CA 012,SIPAK (cynosbati fructus) 1kg,460.00,CA 012,,1.00
UVA (uvae ursi folium) 1kg,CA 013,UVA (uvae ursi folium) 1kg,600.00,CA 013,,1.00
ZELENI (theae folium) 1kg,CA 014,ZELENI (theae folium) 1kg,800.00,CA 014,,0.50
RASTAVIC (equisetum arvense) 1kg,CA 015,RASTAVIC (equisetum arvense) 1kg,380.00,CA 015,,1.00
ZALFIJA (salvia officinalis)  1kg,CA 016,ZALFIJA (salvia officinalis)  1kg,520.00,CA 016,,1.00
KOPRIVA (urticae folium)   1 KG,CA 019,KOPRIVA (urticae folium)   1 KG,360.00,CA 019,,1.00
CRNI(theae folium) 1kg,CA 028,CRNI(theae folium) 1kg,930.00,CA 028,,1.00
HAJDUCKA TRAVA (millefoli flos) 1kg,CA 030,HAJDUCKA TRAVA (millefoli flos) 1kg,400.00,CA 030,,1.00
HIBISKUS (hibisci flos) 1kg,CA 031,HIBISKUS (hibisci flos) 1kg,970.00,CA 031,,1.00
ORIGANO (origani heracleotici herba) 1k,CA 034,ORIGANO (origani heracleotici herba) 1k,830.00,CA 034,,0.95
CELER (apium graveolens) 1kg,CA 037,CELER (apium graveolens) 1kg,680.00,CA 037,,0.95
KAMILICA (chamomillae flos) 1kg,CA 041,KAMILICA (chamomillae flos) 1kg,870.00,CA 041,,2.00
KRUSINA (rhamnus frangula) 1kg,CA 046,KRUSINA (rhamnus frangula) 1kg,560.00,CA 046,,1.00
PISKOTE CASSATO FOOD 4/1,CASSATO 001,PISKOTE CASSATO FOOD 4/1,390.00,CASSATO 001,,feb.19
COKOLINE MLJAC MLJAC 3.5/1,COKOLINE 05,COKOLINE MLJAC MLJAC 3.5/1,310.00,COKOLINE 05,,3.apr
COKOLINE PRALINE  2/1,COKOLINE 08,COKOLINE PRALINE  2/1,350.00,COKOLINE 08,,jan.55
MLJAC COKO NARANDZA 3/1,COKOLINE 13,MLJAC COKO NARANDZA 3/1,330.00,COKOLINE 13,,feb.30
COCA-COLA 2L 8/1                     13,COLA 15,COCA-COLA 2L 8/1                     13,97.00,COLA 15,,5.00
COCA-COLA 1L 12/1                    06,COLA 23,COCA-COLA 1L 12/1                    06,67.00,COLA 23,,6.00
TONIC 1.5L 8/1                       06,COLA 27,TONIC 1.5L 8/1                       06,92.00,COLA 27,,6.00
FANTA ORANGE 2L 8/1- PROMOTIVNA,COLA 35,FANTA ORANGE 2L 8/1- PROMOTIVNA,92.00,COLA 35,,7.00
COCA-COLA 0.5L 24/1 SUMMER,COLA 55,COCA-COLA 0.5L 24/1 SUMMER,49.50,COLA 55,,19.00
ULTRA ENERGY 0,25 24/1#,COLA 81,ULTRA ENERGY 0,25 24/1#,45.00,COLA 81,,18.00
EL FAMOSO NATU. 500gr 10/1,CORNAS 001,EL FAMOSO NATU. 500gr 10/1,182.00,CORNAS 001,,0.00
JAFA 150g 24kom 3.6kg-CRVENKA,CRVENKA 01,JAFA 150g 24kom 3.6kg-CRVENKA,74.00,CRVENKA 01,,7.00
JAFA 300g 12kom 3.6kg-CRVENKA,CRVENKA 02,JAFA 300g 12kom 3.6kg-CRVENKA,133.00,CRVENKA 02,,3.00
MANCMELOU 105g 24kom 2.52kg-CRVENKA,CRVENKA 03,MANCMELOU 105g 24kom 2.52kg-CRVENKA,50.00,CRVENKA 03,,2.00
KREKER TAK 200g 12/1 -CRVENKA,CRVENKA 13,KREKER TAK 200g 12/1 -CRVENKA,45.00,CRVENKA 13,,3.00
JAFA 150g VISNJA 24/1#,CRVENKA 63,JAFA 150g VISNJA 24/1#,74.00,CRVENKA 63,,2.00
RATLUK RUZA 3/1-CUKOVIC,CUKOV01,RATLUK RUZA 3/1-CUKOVIC,180.00,CUKOV01,,0.54
RATLUK ORAH 3/1-CUKOVIC,CUKOV02,RATLUK ORAH 3/1-CUKOVIC,140.00,CUKOV02,,jan.55
RATLUK VANILA 3/1-CUKOVIC,CUKOV03,RATLUK VANILA 3/1-CUKOVIC,130.00,CUKOV03,,jan.36
RATLUK JAGODA 3/1-CUKOVIC,CUKOV04,RATLUK JAGODA 3/1-CUKOVIC,130.00,CUKOV04,,3.00
ZELE BOMBONE 3/1,CUKOV05,ZELE BOMBONE 3/1,165.00,CUKOV05,,feb.24
MLEVENI MAK 200GR 20/1,DANDDY 001,MLEVENI MAK 200GR 20/1,107.00,DANDDY 001,,2.00
RUZICE VECE 10/1-DECOR,DECOR 01,RUZICE VECE 10/1-DECOR,20.00,DECOR 01,,19.00
RUZICE MANJE 20/1-DECOR,DECOR 02,RUZICE MANJE 20/1-DECOR,15.00,DECOR 02,,20.00
RUZICE VECE 3/1-DECOR,DECOR 08,RUZICE VECE 3/1-DECOR,40.00,DECOR 08,,6.00
DIJAMANT MARGARIN 5/1,DIJAM 01,DIJAMANT MARGARIN 5/1,36.00,DIJAM 01,,10.00
ULJE DIJAMANT 15/1,DIJAMANT 01,ULJE DIJAMANT 15/1,81.00,DIJAMANT 01,,10.00
MASLINOVO ULJE 1L EXTRA VIRGIN 12/1#,DIVELLA 001,MASLINOVO ULJE 1L EXTRA VIRGIN 12/1#,670.00,DIVELLA 001,,2.00
MASLINOVO ULJE 0.5l EXTRA VIRGIN 12/1#,DIVELLA 002,MASLINOVO ULJE 0.5l EXTRA VIRGIN 12/1#,440.00,DIVELLA 002,,2.00
PROPOLIS ZA ODRASLE,DIVIZMA 002,PROPOLIS ZA ODRASLE,130.00,DIVIZMA 002,,3.00
PROPOLIS ZA MRSAVLJENJE,DIVIZMA 004,PROPOLIS ZA MRSAVLJENJE,130.00,DIVIZMA 004,,3.00
PROPOLIS ZA CIRKULACIJU,DIVIZMA 006,PROPOLIS ZA CIRKULACIJU,130.00,DIVIZMA 006,,3.00
KAPI OD GLOGA,DIVIZMA 008,KAPI OD GLOGA,115.00,DIVIZMA 008,,3.00
KAPI OD KOPRIVE,DIVIZMA 010,KAPI OD KOPRIVE,115.00,DIVIZMA 010,,3.00
KAPI OD VALERIJANE,DIVIZMA 011,KAPI OD VALERIJANE,115.00,DIVIZMA 011,,3.00
KAPI KANTARIONA SPOLJNA UPOTREBA,DIVIZMA 012,KAPI KANTARIONA SPOLJNA UPOTREBA,115.00,DIVIZMA 012,,3.00
KAPI OD ARTICOKE,DIVIZMA 015,KAPI OD ARTICOKE,115.00,DIVIZMA 015,,3.00
SIRUP OD BELOG SLEZA,DIVIZMA 016,SIRUP OD BELOG SLEZA,115.00,DIVIZMA 016,,2.00
SIRUP OD BOKVICE,DIVIZMA 017,SIRUP OD BOKVICE,130.00,DIVIZMA 017,,3.00
SIRUP OD JAGORCEVINE,DIVIZMA 019,SIRUP OD JAGORCEVINE,115.00,DIVIZMA 019,,3.00
KAPI KANTARIONA UNUTRASNJA UPOTREBA,DIVIZMA 020,KAPI KANTARIONA UNUTRASNJA UPOTREBA,115.00,DIVIZMA 020,,3.00
AJVAR BLAGI 680g 12/1 -DOMATTI,DOMATTI 005,AJVAR BLAGI 680g 12/1 -DOMATTI,170.00,DOMATTI 005,,0.00
ANANAS KOLUTOVI 850ml  12/1,DUCLA 06,ANANAS KOLUTOVI 850ml  12/1,230.00,DUCLA 06,,2.00
ANANAS KOMADI   850ml  12/1,DUCLA 07,ANANAS KOMADI   850ml  12/1,195.00,DUCLA 07,,2.00
ANANAS KOLUTOVI 580ml  12/1,DUCLA 08,ANANAS KOLUTOVI 580ml  12/1,160.00,DUCLA 08,,1.00
ANANAS KOMADI   580ml   12/1,DUCLA 09,ANANAS KOMADI   580ml   12/1,125.00,DUCLA 09,,2.00
CIKORIJA,E-PAN 001,CIKORIJA,78.00,E-PAN 001,,2.00
BIOKAFA,E-PAN 002,BIOKAFA,52.00,E-PAN 002,,2.00
SIRCE D.JABUKE STAND.0.5 X 20-EKOFARM,EKOFARM 01,SIRCE D.JABUKE STAND.0.5 X 20-EKOFARM,64.00,EKOFARM 01,,2.00
SIRCE D.JABUKE MRSAV.0.5 X 20-EKOFARM,EKOFARM 02,SIRCE D.JABUKE MRSAV.0.5 X 20-EKOFARM,66.00,EKOFARM 02,,4.00
SIRCE D.JABUKE CIRKU.0.5 X 20-EKOFARM,EKOFARM 03,SIRCE D.JABUKE CIRKU.0.5 X 20-EKOFARM,66.00,EKOFARM 03,,2.00
JABUKOVO SIRCE 1 X 12-EKOFARM,EKOFARM 05,JABUKOVO SIRCE 1 X 12-EKOFARM,70.00,EKOFARM 05,,3.00
KUPINOVO VINO 0.75 X 6-EKOFARM,EKOFARM 06,KUPINOVO VINO 0.75 X 6-EKOFARM,285.00,EKOFARM 06,,1.00
ODMENJSKA VODA  5/1 - EKOFARM,EKOFARM 09,ODMENJSKA VODA  5/1 - EKOFARM,75.00,EKOFARM 09,,4.00
SIRUP CVETA ZOVE 0.7 X 12 -EKOFARM,EKOFARM 15,SIRUP CVETA ZOVE 0.7 X 12 -EKOFARM,180.00,EKOFARM 15,,1.00
SIRUP PLODA ZOVE 0.7 X 12 -EKOFARM,EKOFARM 16,SIRUP PLODA ZOVE 0.7 X 12 -EKOFARM,180.00,EKOFARM 16,,2.00
SIRUP KOPRIVE 0.7 X 12 -EKOFARM,EKOFARM 17,SIRUP KOPRIVE 0.7 X 12 -EKOFARM,180.00,EKOFARM 17,,1.00
SIRUP OD DRENJINE 0.7 X 12 -EKOFARM,EKOFARM 18,SIRUP OD DRENJINE 0.7 X 12 -EKOFARM,180.00,EKOFARM 18,,2.00
SIRUP MENTE-NANA 0.7 x 12 -EKOFARM,EKOFARM 19,SIRUP MENTE-NANA 0.7 x 12 -EKOFARM,180.00,EKOFARM 19,,2.00
